year,week_number,count
2011,43,6963
2011,44,6922
2011,45,6385
2011,46,6571
2011,47,6106
2011,48,6494
2011,49,6053
2011,50,6341
2011,51,5911
2011,52,7153
2012,1,6490
2012,2,5716
2012,3,5293
2012,4,6170
2012,5,6238
2012,6,5464
2012,7,5833
2012,8,5581
2012,9,6043
2012,10,6225
2012,11,6711
2012,12,6792
2012,13,6374
2012,14,6154
2012,15,6462
2012,16,6344
2012,17,6352
2012,18,6728
2012,19,6635
2012,20,6806
2012,21,6851
2012,22,7088
2012,23,7115
2012,24,7297
2012,25,7550
2012,26,7149
2012,27,7351
2012,28,7449
2012,29,7009
2012,30,7040
2012,31,7074
2012,32,6673
2012,33,6716
2012,34,6752
2012,35,6823
2012,36,6536
2012,37,6499
2012,38,6260
2012,39,6385
2012,40,6243
2012,41,6318
2012,42,6493
2012,43,6249
2012,44,6189
2012,45,6265
2012,46,6076
2012,47,5781
2012,48,6267
2012,49,6018
2012,50,5999
2012,51,5652
2012,52,6405
2013,1,6459
2013,2,5679
2013,3,5762
2013,4,5340
2013,5,5638
2013,6,5472
2013,7,5466
2013,8,5177
2013,9,5547
2013,10,5475
2013,11,5806
2013,12,5545
2013,13,5648
2013,14,6052
2013,15,5975
2013,16,5644
2013,17,6086
2013,18,6398
2013,19,6166
2013,20,6592
2013,21,6190
2013,22,6306
2013,23,6266
2013,24,6346
2013,25,6534
2013,26,6311
2013,27,6556
2013,28,6361
2013,29,6527
2013,30,6552
2013,31,6508
2013,32,6510
2013,33,6437
2013,34,6462
2013,35,6456
2013,36,6249
2013,37,6061
2013,38,5921
2013,39,6155
2013,40,6120
2013,41,5781
2013,42,5566
2013,43,5383
2013,44,6025
2013,45,5602
2013,46,5401
2013,47,5602
2013,48,5237
2013,49,5258
2013,50,4657
2013,51,5418
2013,52,4441
2014,1,5022
2014,2,4019
2014,3,4933
2014,4,4488
2014,5,4730
2014,6,4434
2014,7,4376
2014,8,4582
2014,9,4538
2014,10,4579
2014,11,5197
2014,12,5250
2014,13,5131
2014,14,5359
2014,15,5431
2014,16,5272
2014,17,5267
2014,18,5507
2014,19,5628
2014,20,5669
2014,21,5564
2014,22,5817
2014,23,5849
2014,24,5749
2014,25,5970
2014,26,6022
2014,27,6113
2014,28,5989
2014,29,5864
2014,30,6045
2014,31,6138
2014,32,5815
2014,33,5860
2014,34,5697
2014,35,5681
2014,36,5753
2014,37,5088
2014,38,5661
2014,39,5794
2014,40,5566
2014,41,5143
2014,42,5402
2014,43,5469
2014,44,5600
2014,45,5167
2014,46,4881
2014,47,4660
2014,48,4413
2014,49,4956
2014,50,4930
2014,51,4947
2014,52,4299
2015,1,3018
2015,2,3825
2015,3,4802
2015,4,5194
2015,5,4576
2015,6,4114
2015,7,4231
2015,8,3998
2015,9,4218
2015,10,4494
2015,11,5360
2015,12,4993
2015,13,4638
2015,14,5194
2015,15,4810
2015,16,5239
2015,17,4989
2015,18,5234
2015,19,5268
2015,20,5560
2015,21,5245
2015,22,5223
2015,23,5489
2015,24,5434
2015,25,5397
2015,26,5322
2015,27,5645
2015,28,5177
2015,29,5318
2015,30,5634
2015,31,5770
2015,32,5499
2015,33,5630
2015,34,5640
2015,35,5404
2015,36,5755
2015,37,5040
2015,38,5470
2015,39,5456
2015,40,5129
2015,41,5178
2015,42,5161
2015,43,5406
2015,44,5260
2015,45,5215
2015,46,4796
2015,47,4544
2015,48,4344
2015,49,4969
2015,50,4938
2015,51,4992
2015,52,4534
2015,53,2352
2016,1,4569
2016,2,4366
2016,3,4467
2016,4,4954
2016,5,4774
2016,6,4013
2016,7,4671
2016,8,4591
2016,9,4786
2016,10,5008
2016,11,5049
2016,12,4863
2016,13,5120
2016,14,4746
2016,15,5032
2016,16,5013
2016,17,4964
2016,18,5128
2016,19,5151
2016,20,5377
2016,21,5454
2016,22,5708
2016,23,5439
2016,24,5635
2016,25,5621
2016,26,5675
2016,27,5546
2016,28,5386
2016,29,5590
2016,30,5813
2016,31,5740
2016,32,5506
2016,33,5700
2016,34,5497
2016,35,5837
2016,36,5433
2016,37,5633
2016,38,5545
2016,39,5158
2016,40,5324
2016,41,5282
2016,42,5329
2016,43,5350
2016,44,5653
2016,45,5011
2016,46,5092
2016,47,4734
2016,48,5076
2016,49,4417
2016,50,4218
2016,51,4600
2016,52,4123
2016,53,2274
2017,1,4354
2017,2,4855
2017,3,5107
2017,4,5088
2017,5,4989
2017,6,4914
2017,7,5017
2017,8,4569
2017,9,4579
2017,10,4576
2017,11,4263
2017,12,4823
2017,13,5038
2017,14,4859
2017,15,5047
2017,16,5166
2017,17,5066
2017,18,5154
2017,19,5088
2017,20,5452
2017,21,5325
2017,22,5657
2017,23,5519
2017,24,5583
2017,25,5545
2017,26,5511
2017,27,5631
2017,28,5547
2017,29,5508
2017,30,5635
2017,31,6062
2017,32,5402
2017,33,5685
2017,34,5376
2017,35,5350
2017,36,4966
2017,37,5293
2017,38,5544
2017,39,5388
2017,40,5156
2017,41,4878
2017,42,5411
2017,43,5116
2017,44,5315
2017,45,4839
2017,46,5010
2017,47,4688
2017,48,5401
2017,49,4904
2017,50,5104
2017,51,4929
2017,52,4903
2018,1,5007
2018,2,4563
2018,3,4555
2018,4,4871
2018,5,4510
2018,6,3799
2018,7,4411
2018,8,4579
2018,9,4764
2018,10,4668
2018,11,4811
2018,12,4796
2018,13,4777
2018,14,4591
2018,15,4949
2018,16,4947
2018,17,5085
2018,18,5659
2018,19,5280
2018,20,5391
2018,21,5636
2018,22,6067
2018,23,5426
2018,24,5519
2018,25,5601
2018,26,5882
2018,27,5869
2018,28,5545
2018,29,5536
2018,30,5613
2018,31,6006
2018,32,5673
2018,33,5772
2018,34,5428
2018,35,5748
2018,36,5193
2018,37,5250
2018,38,5443
2018,39,5238
2018,40,5039
2018,41,5015
2018,42,4975
2018,43,5264
2018,44,5462
2018,45,4817
2018,46,4613
2018,47,4607
2018,48,4790
2018,49,5064
2018,50,5090
2018,51,5096
2018,52,4376
2019,1,4446
2019,2,4622
2019,3,4292
2019,4,4012
2019,5,3756
2019,6,4655
2019,7,4617
2019,8,4352
2019,9,4249
2019,10,4173
2019,11,4727
2019,12,4659
2019,13,4576
2019,14,4719
2019,15,4783
2019,16,4638
2019,17,4789
2019,18,4863
2019,19,4750
2019,20,5037
2019,21,5314
2019,22,5037
2019,23,657
